algo,score,clusters
KMeans,0.6468266676607601,4
Agglomerative,0.5544786252177756,4
Spectral,0.8894194271443359,4
Birch,0.8963065534883663,4
KMeans,0.5581666769405856,5
Agglomerative,0.5643203301653003,5
Spectral,0.8650954651734716,5
Birch,0.8897806396215054,5
KMeans,0.4915769977495924,6
Agglomerative,0.381872491666767,6
Spectral,0.856710543020676,6
Birch,0.6744131267918048,6
KMeans,0.5331393169633648,7
Agglomerative,0.3822319644010064,7
Spectral,0.8529175760916948,7
Birch,0.674899790548584,7
KMeans,0.516988215584285,8
Agglomerative,0.38847626939917296,8
Spectral,0.7763038471019854,8
Birch,0.6739887885839931,8
KMeans,0.4566631266128812,9
Agglomerative,0.3889831387281811,9
Spectral,0.7733864804657862,9
Birch,0.673894150359468,9
KMeans,0.48577895828617823,10
Agglomerative,0.41540364706459565,10
Spectral,0.7620081643938731,10
Birch,0.6470633893096103,10
KMeans,0.4778524541904141,11
Agglomerative,0.4244966269048636,11
Spectral,0.7621634962023837,11
Birch,0.6450014158194325,11
KMeans,0.45542119881997944,12
Agglomerative,0.4222297884377017,12
Spectral,0.7568510385627288,12
Birch,0.6443349201464048,12
Meanshift,0.5060122726757966,0
Affinity,0.27528572496126896,0
DBSCAN,0.9626815572732176,0
OPTICS,-0.6003076524523103,0
